metodo;lr;local_epochs;mu;lr_beta;lambda_reg;gamma_reg;best_val_acc;best_round;total_rounds;tiempo_seg
mh_cro;0.1;5;;;0.01;0.005;0.995;18;23;920.8
mh_cro;0.1;5;;;0.01;0.01;0.984393;12;17;619.3
mh_cro;0.1;5;;;0.01;0.05;0.994261;21;26;1018.8
mh_cro;0.1;10;;;1e-05;0.001;0.922493;14;19;1184.6
mh_cro;0.1;10;;;1e-05;0.005;0.996193;23;28;1837.0
mh_cro;0.1;10;;;1e-05;0.01;0.995401;22;27;1904.8
mh_cro;0.1;10;;;1e-05;0.05;0.995619;15;20;1447.8
mh_cro;0.1;10;;;0.0001;0.001;0.946224;12;17;1141.8
mh_cro;0.1;10;;;0.0001;0.005;0.61286;2;7;494.3
mh_cro;0.1;10;;;0.0001;0.01;0.980264;12;17;1272.8
mh_cro;0.1;10;;;0.0001;0.05;0.693153;6;11;789.9
mh_cro;0.1;10;;;0.001;0.001;0.986232;11;16;1165.0
mh_cro;0.1;10;;;0.001;0.005;0.985827;15;20;1357.9
mh_cro;0.1;10;;;0.001;0.01;0.995798;29;30;2107.4
mh_cro;0.1;10;;;0.001;0.05;0.971305;10;15;1025.6
mh_cro;0.1;10;;;0.01;0.001;0.990544;20;25;1770.9
mh_cro;0.1;10;;;0.01;0.005;0.996995;28;30;1978.9
mh_cro;0.1;10;;;0.01;0.01;0.841402;9;14;935.1
mh_cro;0.1;10;;;0.01;0.05;0.997085;30;30;2138.5
mh_cro;0.5;1;;;1e-05;0.001;0.129391;1;6;79.7
mh_cro;0.5;1;;;1e-05;0.005;0.129391;1;6;80.1
mh_cro;0.5;1;;;1e-05;0.01;0.129391;1;6;79.6
mh_cro;0.5;1;;;1e-05;0.05;0.129391;1;6;80.3
mh_cro;0.5;1;;;0.0001;0.001;0.129391;1;6;80.0
mh_cro;0.5;1;;;0.0001;0.005;0.129391;1;6;80.2
mh_cro;0.5;1;;;0.0001;0.01;0.129391;1;6;80.2
mh_cro;0.5;1;;;0.0001;0.05;0.129391;1;6;79.8
mh_cro;0.5;1;;;0.001;0.001;0.129391;1;6;80.4
mh_cro;0.5;1;;;0.001;0.005;0.129391;1;6;79.9
mh_cro;0.5;1;;;0.001;0.01;0.129391;1;6;80.4
mh_cro;0.5;1;;;0.001;0.05;0.129391;1;6;80.1
mh_cro;0.5;1;;;0.01;0.001;0.129391;1;6;79.9
mh_cro;0.5;1;;;0.01;0.005;0.129391;1;6;80.0
mh_cro;0.5;1;;;0.01;0.01;0.129391;1;6;79.8
mh_cro;0.5;1;;;0.01;0.05;0.129391;1;6;80.0
mh_cro;0.5;3;;;1e-05;0.001;0.129391;1;6;166.0
mh_cro;0.5;3;;;1e-05;0.005;0.129391;1;6;167.1
mh_cro;0.5;3;;;1e-05;0.01;0.129391;1;6;167.1
mh_cro;0.5;3;;;1e-05;0.05;0.129391;1;6;166.9
mh_cro;0.5;3;;;0.0001;0.001;0.129391;1;6;166.2
mh_cro;0.5;3;;;0.0001;0.005;0.129391;1;6;162.4
mh_cro;0.5;3;;;0.0001;0.01;0.129391;1;6;163.9
mh_cro;0.5;3;;;0.0001;0.05;0.129391;1;6;163.2
mh_cro;0.5;3;;;0.001;0.001;0.129391;1;6;163.9
mh_cro;0.5;3;;;0.001;0.005;0.129391;1;6;163.6
mh_cro;0.5;3;;;0.001;0.01;0.129391;1;6;164.4
mh_cro;0.5;3;;;0.001;0.05;0.129391;1;6;165.1
mh_cro;0.5;3;;;0.01;0.001;0.129391;1;6;167.2
mh_cro;0.5;3;;;0.01;0.005;0.129391;1;6;165.7
mh_cro;0.5;3;;;0.01;0.01;0.129391;1;6;165.1
mh_cro;0.5;3;;;0.01;0.05;0.129391;1;6;165.6
mh_cro;0.5;5;;;1e-05;0.001;0.129391;1;6;252.9
mh_cro;0.5;5;;;1e-05;0.005;0.129391;1;6;251.7
mh_cro;0.5;5;;;1e-05;0.01;0.129391;1;6;210.2
mh_cro;0.5;5;;;1e-05;0.05;0.129391;1;6;201.0
mh_cro;0.5;5;;;0.0001;0.001;0.129391;1;6;199.9
mh_cro;0.5;5;;;0.0001;0.005;0.129391;1;6;199.8
mh_cro;0.5;5;;;0.0001;0.01;0.129391;1;6;199.6
mh_cro;0.5;5;;;0.0001;0.05;0.129391;1;6;200.3
mh_cro;0.5;5;;;0.001;0.001;0.129391;1;6;200.4
mh_cro;0.5;5;;;0.001;0.005;0.129391;1;6;200.4
mh_cro;0.5;5;;;0.001;0.01;0.129391;1;6;201.1
mh_cro;0.5;5;;;0.001;0.05;0.129391;1;6;200.2
mh_cro;0.5;5;;;0.01;0.001;0.129391;1;6;199.6
mh_cro;0.5;5;;;0.01;0.005;0.129391;1;6;200.3
mh_cro;0.5;5;;;0.01;0.01;0.129391;1;6;199.9
mh_cro;0.5;5;;;0.01;0.05;0.129391;1;6;199.9
mh_cro;0.5;10;;;1e-05;0.001;0.129391;1;6;366.0
mh_cro;0.5;10;;;1e-05;0.005;0.129391;1;6;362.3
mh_cro;0.5;10;;;1e-05;0.01;0.129391;1;6;364.0
mh_cro;0.5;10;;;1e-05;0.05;0.129391;1;6;365.9
mh_cro;0.5;10;;;0.0001;0.001;0.129391;1;6;367.2
mh_cro;0.5;10;;;0.0001;0.005;0.129391;1;6;367.0
mh_cro;0.5;10;;;0.0001;0.01;0.129391;1;6;367.3
mh_cro;0.5;10;;;0.0001;0.05;0.129391;1;6;366.8
mh_cro;0.5;10;;;0.001;0.001;0.129391;1;6;394.0
mh_cro;0.5;10;;;0.001;0.005;0.129391;1;6;481.0
mh_cro;0.5;10;;;0.001;0.01;0.129391;1;6;568.1
mh_cro;0.5;10;;;0.001;0.05;0.129391;1;6;593.0
mh_cro;0.5;10;;;0.01;0.001;0.129391;1;6;595.1
mh_cro;0.5;10;;;0.01;0.005;0.129391;1;6;590.6
mh_cro;0.5;10;;;0.01;0.01;0.129391;1;6;475.7
mh_cro;0.5;10;;;0.01;0.05;0.129391;1;6;473.7
